,betweenness_centrality,vertex
98,0.004168665,365
99,0.004163047,509
100,0.004111521,173
101,0.004032003,376
102,0.004025157,169
103,0.003946129,11
104,0.003890008,20
105,0.003851217,543
106,0.003725905,14
107,0.003673004,375
108,0.003638612,113
109,0.003632578,19
110,0.003583871,155
111,0.003575336,93
112,0.003462312,61
113,0.0034346,41
114,0.003422015,342
115,0.003411473,417
116,0.003395861,271
117,0.003329614,238
118,0.00332349,177
119,0.003276132,263
120,0.003255794,23
121,0.003241854,327
122,0.003233862,168
123,0.003209873,300
124,0.003203321,69
125,0.003142582,212
126,0.003119072,89
127,0.003117541,466
128,0.003116899,27
129,0.003111174,145
130,0.003102079,57
131,0.003075746,18
132,0.002948444,172
133,0.002906343,242
134,0.00288134,748
135,0.002859051,408
136,0.002829072,52
137,0.002822368,38
138,0.002819935,459
139,0.002817676,7
140,0.002812458,206
141,0.002793889,438
142,0.002741806,255
143,0.0027109,381
144,0.002697215,367
145,0.002691927,856
146,0.002631693,544
147,0.002616264,380
148,0.002589159,936
149,0.002567031,474
150,0.002557491,163
151,0.00255062,325
152,0.00252733,452
153,0.002517299,230
154,0.002453055,92
155,0.002445036,932
156,0.002443788,851
157,0.00243491,516
158,0.002434147,537
159,0.002428357,526
160,0.002427284,210
161,0.002414194,222
162,0.002400082,88
163,0.002398142,350
164,0.002370416,179
165,0.002360561,55
166,0.002357596,421
167,0.002333564,564
168,0.002315273,371
169,0.00230499,521
170,0.002270515,777
171,0.002258079,326
172,0.002251798,577
173,0.002239934,450
174,0.002235064,812
175,0.002226456,859
176,0.002216578,15
177,0.002198051,51
178,0.002174092,379
179,0.002173467,430
180,0.00215917,218
181,0.002157631,116
182,0.002146104,611
183,0.002113928,425
184,0.002108346,316
185,0.002078792,641
186,0.002023947,162
187,0.002004028,605
188,0.002000456,486
189,0.001991286,370
190,0.001989536,234
191,0.001977695,80
192,0.001976362,717
193,0.001958334,72
194,0.001955589,712
195,0.001954625,635
196,0.001927034,181
197,0.001894331,320
198,0.001892762,46
199,0.001866304,45
200,0.001864944,174
201,0.001853919,95
202,0.001846011,272
203,0.001837515,164
204,0.001837235,441
205,0.001832271,124
206,0.001816431,362
207,0.001800832,615
208,0.001738516,243
209,0.001730711,233
210,0.001693505,30
211,0.001653572,3
212,0.001611065,296
213,0.00160163,322
214,0.001600699,167
215,0.001598453,100
216,0.001597204,513
217,0.001586417,373
218,0.001574018,338
219,0.001545154,140
220,0.001543093,130
221,0.001541538,358
222,0.001529863,24
223,0.001518127,199
224,0.001493576,278
225,0.001490193,16
226,0.001480126,397
227,0.00146306,351
228,0.00142402,226
229,0.001418737,29
230,0.001414571,35
231,0.001409091,131
232,0.001393294,426
233,0.001386634,448
234,0.001383438,520
235,0.001379271,612
236,0.001372912,499
237,0.001345743,305
238,0.001339444,483
239,0.001331102,482
240,0.001324028,254
241,0.001305509,504
242,0.00130366,314
243,0.001285761,214
244,0.001284466,198
245,0.001269754,40
246,0.00126846,518
247,0.001265352,661
248,0.00126248,221
249,0.001261154,435
250,0.001253817,368
251,0.001251429,389
252,0.00124339,158
253,0.001239703,48
254,0.001238378,108
255,0.001234321,284
256,0.001202976,481
257,0.001199851,102
258,0.001198818,464
259,0.001195088,1
260,0.001171212,262
261,0.001170362,275
262,0.001154491,455
263,0.001151274,152
264,0.001135492,139
265,0.001133403,318
266,0.00112969,422
267,0.001123719,0
268,0.001109511,950
269,0.001100963,261
270,0.001095225,809
271,0.001084132,10
272,0.001083255,797
273,0.001073139,458
274,0.001068236,161
275,0.00106505,42
276,0.001055512,132
277,0.0010545,460
278,0.001030284,103
279,0.001024167,159
280,0.001010409,213
281,0.001009337,523
282,0.000990932,697
283,0.000984198,66
284,0.000975129,592
285,0.000973788,223
286,0.000966451,478
287,0.000963845,85
288,0.000950922,515
289,0.000947726,323
290,0.000912721,707
291,0.000911933,208
292,0.000910017,201
293,0.000903398,281
294,0.000877114,134
295,0.000874376,427
296,0.000860805,288
297,0.000852903,153
298,0.000847954,387
299,0.000840627,308
300,0.000833232,525
301,0.000832615,339
302,0.000816681,531
303,0.000816369,47
304,0.000810453,593
305,0.0008069,813
306,0.000803538,415
307,0.000798355,681
308,0.000793481,182
309,0.000788236,963
310,0.0007754,245
311,0.000761019,156
312,0.000757525,335
313,0.000757333,264
314,0.000752783,572
315,0.000744639,125
316,0.000743029,363
317,0.000733485,178
318,0.000732627,53
319,0.000722414,390
320,0.000721624,309
321,0.000710083,654
322,0.000708416,91
323,0.000708284,176
324,0.000701309,236
325,0.000696484,511
326,0.000690341,143
327,0.000679984,601
328,0.000668615,569
329,0.000666775,489
330,0.000659286,292
331,0.000658653,60
332,0.000655901,332
333,0.000648768,94
334,0.000648764,127
335,0.000648691,747
336,0.00063809,311
337,0.000634671,79
338,0.000627376,360
339,0.000619475,480
340,0.00061933,621
341,0.000618741,400
342,0.000615834,59
343,0.000604073,203
344,0.000603122,194
345,0.000600522,312
346,0.000597708,268
347,0.000577639,253
348,0.000571579,395
349,0.000559466,423
350,0.000556829,8
351,0.000555944,529
352,0.000554853,171
353,0.000548953,336
354,0.000544813,355
355,0.000544238,562
356,0.000538525,149
357,0.000535803,548
358,0.000535201,361
359,0.000531012,304
360,0.000530022,695
361,0.000528008,229
362,0.000524928,101
363,0.000524685,913
364,0.000513957,200
365,0.000513661,123
366,0.000512746,453
367,0.000511464,922
368,0.000510456,706
369,0.000509124,197
370,0.000504859,349
371,0.00050477,150
372,0.000503029,146
373,0.000499345,154
374,0.000483606,54
375,0.00048108,259
376,0.000480614,517
377,0.000476893,147
378,0.000475517,470
379,0.000469927,266
380,0.000466678,265
381,0.000461714,447
382,0.000459711,286
383,0.000458688,56
384,0.000457988,429
385,0.000455365,754
386,0.000454495,445
387,0.000445483,563
388,0.000444395,733
389,0.000441528,126
390,0.000439628,756
391,0.000439401,352
392,0.000437349,250
393,0.000435279,299
394,0.000434088,685
395,0.000432926,723
396,0.000428909,496
397,0.00042181,347
398,0.000418892,68
399,0.000413355,73
400,0.00041214,187
401,0.000410591,273
402,0.000405176,357
403,0.000404604,205
404,0.000400591,356
405,0.000399691,151
406,0.000398682,31
407,0.00039795,36
408,0.000395604,828
409,0.000395454,37
410,0.000393399,892
411,0.000392526,118
412,0.000391383,645
413,0.000385788,719
414,0.000384087,406
415,0.000382844,699
416,0.000381493,666
417,0.000377511,581
418,0.000376958,490
419,0.000375205,307
420,0.000364639,845
421,0.000364635,437
422,0.000358046,337
423,0.000355455,700
424,0.000353788,204
425,0.000349794,90
426,0.000343766,324
427,0.000342719,457
428,0.000342034,655
429,0.000338144,99
430,0.000337908,217
431,0.000333431,900
432,0.00033278,188
433,0.000331871,638
434,0.00032711,274
435,0.000325957,237
436,0.0003229,235
437,0.00032131,953
438,0.000320075,823
439,0.000318957,185
440,0.000316108,485
441,0.000308878,251
442,0.000307236,135
443,0.000307049,331
444,0.000305513,896
445,0.000303617,407
446,0.000302276,776
447,0.000298452,122
448,0.000294767,298
449,0.000293044,479
450,0.000287725,196
451,0.000283759,216
452,0.000280303,9
453,0.000273992,492
454,0.000272784,117
455,0.000269289,446
456,0.000266792,195
457,0.000264033,461
458,0.000259832,545
459,0.000259275,372
460,0.000255205,190
461,0.000254223,444
462,0.000254004,552
463,0.000253627,667
464,0.000250766,602
465,0.00024956,98
466,0.000249121,241
467,0.000247074,491
468,0.000245102,294
469,0.000244803,26
470,0.000241764,519
471,0.000241317,610
472,0.00024075,310
473,0.000238867,551
474,0.000237481,394
475,0.000235513,39
476,0.000234129,97
477,0.000230605,33
478,0.000227268,207
479,0.000225486,608
480,0.000224618,508
481,0.000224487,607
482,0.00022427,297
483,0.000224008,138
484,0.000218736,847
485,0.000218431,248
486,0.000218366,822
487,0.000217766,25
488,0.000214551,359
489,0.000214329,980
490,0.000202612,428
491,0.000198868,728
492,0.000192285,541
493,0.000190379,343
494,0.000187821,588
495,0.000186598,374
496,0.000184125,77
497,0.000183929,880
498,0.000182266,908
499,0.000182148,484
500,0.000180714,568
501,0.000178079,590
502,0.0001749,277
503,0.000173014,487
504,0.000172454,765
505,0.000170511,392
506,0.00016856,345
507,0.000168481,287
508,0.000167516,148
509,0.000165878,346
510,0.000161095,613
511,0.000160114,112
512,0.000158084,708
513,0.000157207,579
514,0.000156947,468
515,0.000153595,623
516,0.000152958,433
517,0.000150773,671
518,0.000150665,471
519,0.000150646,391
520,0.000148782,260
521,0.000148627,810
522,0.000148187,244
523,0.000148177,431
524,0.000146101,710
525,0.000144325,291
526,0.000144291,665
527,0.000144085,369
528,0.000143327,918
529,0.000142073,956
530,0.000142064,418
531,0.000141681,662
532,0.000138282,344
533,0.000137656,586
534,0.000136474,334
535,0.000135362,917
536,0.000134838,907
537,0.000132059,328
538,0.000131,32
539,0.000130014,104
540,0.000127902,990
541,0.000127718,597
542,0.000127324,403
543,0.000126544,120
544,0.000125028,186
545,0.000124677,640
546,0.000124647,832
547,0.000123881,753
548,0.000123422,502
549,0.000122172,413
550,0.000121329,618
551,0.000121015,317
552,0.000120967,76
553,0.000120732,510
554,0.000120112,816
555,0.000119522,469
556,0.000117305,388
557,0.000116673,225
558,0.000116582,75
559,0.00011612,720
560,0.000115268,34
561,0.000110428,78
562,0.000106178,627
563,0.000105717,467
564,0.000105346,738
565,0.000102739,624
566,0.000102437,651
567,0.000100537,193
568,9.969638913e-05,442
569,9.962423165e-05,931
570,9.752263997e-05,573
571,9.67223782e-05,505
572,9.528828793e-05,933
573,9.338369405e-05,566
574,9.261226629e-05,501
575,9.246571411e-05,228
576,9.206033649e-05,554
577,9.182720922e-05,589
578,9.174964627e-05,257
579,9.151303549e-05,497
580,8.879093344e-05,930
581,8.807279104e-05,558
582,8.772009947e-05,240
583,8.680986187e-05,686
584,8.635536768e-05,786
585,8.576223438e-05,555
586,8.547586174e-05,540
587,8.542130069e-05,826
588,8.450973856e-05,465
589,8.43593687e-05,690
590,8.337169331e-05,302
591,8.325516504e-05,679
592,8.301961992e-05,860
593,8.172246228e-05,246
594,8.132561853e-05,585
595,8.13151216e-05,714
596,7.939040648e-05,799
597,7.926007639e-05,547
598,7.866931301e-05,192
599,7.738421309e-05,582
600,7.737384133e-05,789
601,7.532559967e-05,527
602,7.22741226e-05,872
603,7.116120578e-05,672
604,7.02391848e-05,803
605,6.996945097e-05,649
606,6.98448862e-05,557
607,6.83686698e-05,619
608,6.746852344e-05,734
609,6.70140572e-05,768
610,6.611877128e-05,227
611,6.52410899e-05,550
612,6.444466771e-05,119
613,6.395088567e-05,530
614,6.337558763e-05,532
615,6.288221893e-05,758
616,6.271273434e-05,664
617,6.220295078e-05,576
618,6.196170034e-05,49
619,6.15847486e-05,330
620,6.127916326e-05,399
621,6.081510828e-05,924
622,6.016584758e-05,313
623,5.991343634e-05,599
624,5.941914987e-05,644
625,5.859549597e-05,643
626,5.743391871e-05,914
627,5.724368753e-05,694
628,5.719363663e-05,567
629,5.676006771e-05,385
630,5.491745109e-05,22
631,5.296822268e-05,220
632,5.217136398e-05,219
633,5.20588426e-05,276
634,5.095064683e-05,378
635,4.969007521e-05,535
636,4.964308743e-05,818
637,4.951697788e-05,71
638,4.87780435e-05,730
639,4.869114815e-05,536
640,4.843310888e-05,678
641,4.839206207e-05,926
642,4.756027977e-05,559
643,4.754363427e-05,949
644,4.694809649e-05,70
645,4.590862921e-05,402
646,4.579005042e-05,267
647,4.572514476e-05,293
648,4.458807837e-05,570
649,4.368852642e-05,136
650,4.309597337e-05,528
651,4.137756798e-05,726
652,4.074871349e-05,981
653,4.074871349e-05,976
654,4.031736213e-05,958
655,3.996376157e-05,764
656,3.960198808e-05,647
657,3.953363571e-05,565
658,3.942744733e-05,50
659,3.913145928e-05,538
660,3.879816565e-05,804
661,3.867748251e-05,840
662,3.830319607e-05,669
663,3.81610348e-05,600
664,3.805161748e-05,745
665,3.704634915e-05,674
666,3.663818528e-05,742
667,3.647791958e-05,384
668,3.441638828e-05,885
669,3.389528375e-05,793
670,3.361677713e-05,451
671,3.329766301e-05,571
672,3.303501139e-05,814
673,3.295810337e-05,542
674,3.294857314e-05,514
675,3.248697929e-05,224
676,3.065875062e-05,663
677,3.046749521e-05,556
678,2.983518966e-05,575
679,2.92377931e-05,539
680,2.898779607e-05,815
681,2.870569938e-05,921
682,2.845579563e-05,841
683,2.697174712e-05,783
684,2.638481145e-05,852
685,2.623019084e-05,270
686,2.60959976e-05,341
687,2.495663709e-05,835
688,2.493521114e-05,488
689,2.464937978e-05,925
690,2.458568109e-05,729
691,2.341658925e-05,247
692,2.251544452e-05,587
693,2.237150453e-05,767
694,2.192875652e-05,500
695,2.066873725e-05,698
696,2.03513262e-05,800
697,2.012080863e-05,553
698,1.925900172e-05,614
699,1.876818931e-05,642
700,1.869996142e-05,289
701,1.855119691e-05,935
702,1.833405102e-05,386
703,1.801901671e-05,791
704,1.786707984e-05,778
705,1.76838462e-05,656
706,1.716265016e-05,110
707,1.710725323e-05,639
708,1.707460052e-05,929
709,1.660789823e-05,617
710,1.588196052e-05,202
711,1.516943071e-05,503
712,1.498718337e-05,616
713,1.466088814e-05,687
714,1.435600231e-05,849
715,1.420126842e-05,715
716,1.368140545e-05,67
717,1.326581851e-05,886
718,1.310279645e-05,43
719,1.24423462e-05,239
720,1.192064757e-05,979
721,1.180464541e-05,175
722,1.176948258e-05,144
723,1.17675606e-05,364
724,1.13674493e-05,454
725,1.133053876e-05,836
726,1.102287752e-05,354
727,1.094506027e-05,676
728,1.076499294e-05,705
729,1.060947207e-05,811
730,1.052809593e-05,805
731,1.00913118e-05,739
732,9.913646226e-06,604
733,9.313325122e-06,472
734,9.093006424e-06,951
735,8.601381662e-06,598
736,8.339268362e-06,279
737,8.211597747e-06,877
738,8.119770579e-06,760
739,7.670192176e-06,507
740,7.566572e-06,919
741,7.38691243e-06,957
742,7.215186323e-06,906
743,7.155515126e-06,319
744,6.717416129e-06,970
745,6.676370419e-06,315
746,6.543565526e-06,477
747,6.521837085e-06,410
748,6.29678957e-06,825
749,6.079210566e-06,974
750,6.040843378e-06,952
751,6.000780895e-06,111
752,5.920894924e-06,987
753,5.68774322e-06,855
754,5.660066674e-06,652
755,5.624289732e-06,955
756,5.422225379e-06,867
757,5.345895101e-06,869
758,5.333582985e-06,923
759,5.223675404e-06,740
760,5.193238274e-06,757
761,4.957690836e-06,476
762,4.648622952e-06,416
763,4.549153737e-06,696
764,4.470063875e-06,942
765,4.260223859e-06,752
766,4.034308592e-06,962
767,3.922921887e-06,964
768,3.887661601e-06,725
769,3.882547866e-06,972
770,3.866496127e-06,1001
771,3.697873745e-06,807
772,3.685126405e-06,909
773,3.645509512e-06,927
774,3.574036189e-06,833
775,3.515981721e-06,1000
776,3.4946716e-06,912
777,3.322850286e-06,749
778,3.209053577e-06,769
779,3.10641486e-06,781
780,3.078052679e-06,396
781,3.014641015e-06,727
782,2.860849238e-06,534
783,2.839601691e-06,939
784,2.826056813e-06,937
785,2.684868218e-06,817
786,2.612832601e-06,596
787,2.612122084e-06,591
788,2.582333195e-06,905
789,2.551048279e-06,751
790,2.522506217e-06,785
791,2.42430549e-06,887
792,2.404287158e-06,829
793,2.327041183e-06,920
794,2.25200609e-06,819
795,2.067892965e-06,629
796,1.963250199e-06,802
797,1.937305449e-06,722
798,1.928713662e-06,109
799,1.879927938e-06,771
800,1.85411403e-06,868
801,1.655144994e-06,779
802,1.636091541e-06,883
803,1.608446582e-06,934
804,1.541983162e-06,986
805,1.432520961e-06,844
806,1.374453372e-06,967
807,1.254636185e-06,584
808,1.191148281e-06,796
809,1.173141334e-06,689
810,1.055733451e-06,898
811,9.778587327e-07,839
812,9.136219288e-07,718
813,9.071686981e-07,609
814,8.672084095e-07,857
815,8.620144072e-07,984
816,7.418557318e-07,866
817,7.293757026e-07,512
818,7.293437263e-07,954
819,7.116433617e-07,522
820,6.646893065e-07,945
821,6.482301063e-07,850
822,6.277524215e-07,574
823,4.887406286e-07,682
824,4.470523406e-07,889
825,4.38432102e-07,854
826,3.087459448e-07,759
827,2.772468046e-07,721
828,2.765194351e-07,735
829,2.383288382e-07,683
830,2.256901877e-07,692
831,2.149139739e-07,736
832,2.036855177e-07,432
833,1.822372016e-07,865
834,1.506929907e-07,594
835,1.278957646e-07,475
836,1.168278619e-07,741
837,0.0,801
838,0.0,603
839,0.0,724
840,0.0,904
841,0.0,946
842,0.0,910
843,0.0,1004
844,0.0,961
845,0.0,774
846,0.0,862
847,0.0,928
848,0.0,940
849,0.0,998
850,0.0,702
851,0.0,873
852,0.0,830
853,0.0,680
854,0.0,787
855,0.0,831
856,0.0,916
857,0.0,894
858,0.0,948
859,0.0,882
860,0.0,794
861,0.0,709
862,0.0,897
863,0.0,583
864,0.0,966
865,0.0,578
866,0.0,965
867,0.0,975
868,0.0,985
869,0.0,988
870,0.0,782
871,0.0,439
872,0.0,449
873,0.0,436
874,0.0,775
875,0.0,625
876,0.0,398
877,0.0,1002
878,0.0,874
879,0.0,911
880,0.0,899
881,0.0,870
882,0.0,960
883,0.0,861
884,0.0,792
885,0.0,780
886,0.0,915
887,0.0,761
888,0.0,637
889,0.0,982
890,0.0,746
891,0.0,843
892,0.0,996
893,0.0,630
894,0.0,684
895,0.0,863
896,0.0,784
897,0.0,977
898,0.0,903
899,0.0,824
900,0.0,670
901,0.0,633
902,0.0,524
903,0.0,838
904,0.0,808
905,0.0,895
906,0.0,991
907,0.0,978
908,0.0,878
909,0.0,632
910,0.0,713
911,0.0,561
912,0.0,693
913,0.0,762
914,0.0,688
915,0.0,382
916,0.0,893
917,0.0,881
918,0.0,959
919,0.0,876
920,0.0,994
921,0.0,997
922,0.0,983
923,0.0,888
924,0.0,606
925,0.0,864
926,0.0,622
927,0.0,795
928,0.0,659
929,0.0,744
930,0.0,995
931,0.0,750
932,0.0,890
933,0.0,636
934,0.0,732
935,0.0,772
936,0.0,944
937,0.0,628
938,0.0,580
939,0.0,875
940,0.0,383
941,0.0,790
942,0.0,631
943,0.0,653
944,0.0,658
945,0.0,968
946,0.0,648
947,0.0,711
948,0.0,646
949,0.0,901
950,0.0,704
951,0.0,463
952,0.0,989
953,0.0,858
954,0.0,941
955,0.0,1003
956,0.0,731
957,0.0,755
958,0.0,999
959,0.0,798
960,0.0,902
961,0.0,650
962,0.0,660
963,0.0,943
964,0.0,703
965,0.0,884
966,0.0,691
967,0.0,675
968,0.0,806
969,0.0,947
970,0.0,938
971,0.0,879
972,0.0,770
973,0.0,701
974,0.0,595
975,0.0,848
976,0.0,993
977,0.0,871
978,0.0,626
979,0.0,834
980,0.0,827
981,0.0,973
982,0.0,677
983,0.0,668
984,0.0,842
985,0.0,853
986,0.0,657
987,0.0,766
988,0.0,743
989,0.0,456
990,0.0,992
991,0.0,620
992,0.0,837
993,0.0,821
994,0.0,891
995,0.0,673
996,0.0,773
997,0.0,969
998,0.0,788
999,0.0,763
1000,0.0,737
1001,0.0,716
1002,0.0,634
1003,0.0,846
1004,0.0,348
