,Node,pagerank_centrality
473,16797,5.0082868783452717e-05
474,16796,5.0082868783452717e-05
475,21273,5.0082868783452717e-05
476,16693,5.0082868783452717e-05
477,14896,5.0082868783452717e-05
478,6273,5.0082868783452717e-05
479,18568,5.0082868783452717e-05
480,16692,5.0082868783452717e-05
481,16691,5.0082868783452717e-05
482,6272,5.0082868783452717e-05
483,2467,5.007937009918716e-05
484,9065,5.0075831948458e-05
485,13176,5.004299256579682e-05
486,1120,5.002889873810089e-05
487,1128,5.002889873810089e-05
488,12629,5.002213444535094e-05
489,1209,5.0014196463566226e-05
490,7413,4.988191235444403e-05
491,3980,4.9878625110135705e-05
492,14530,4.98537379767505e-05
493,6996,4.983511086901218e-05
494,6993,4.983511086901218e-05
495,13890,4.983249966368549e-05
496,13924,4.9784333190179626e-05
497,11202,4.977677755550277e-05
498,1630,4.9765639111461916e-05
499,1657,4.9765639111461916e-05
500,3686,4.976132151931884e-05
501,335,4.975488513883248e-05
502,2761,4.974263625688519e-05
503,3979,4.972966463300773e-05
504,5637,4.972415017038318e-05
505,268,4.9698727385654067e-05
506,557,4.967161989980418e-05
507,2512,4.966717588270504e-05
508,7717,4.966439111348547e-05
509,75,4.966124195021418e-05
510,102,4.965509014548745e-05
511,2134,4.964150836048602e-05
512,1843,4.9638335486486405e-05
513,5385,4.961273233770385e-05
514,3898,4.9582938949298426e-05
515,3921,4.9582938949298426e-05
516,4627,4.957151071241406e-05
517,15116,4.956692529398696e-05
518,1122,4.956647744465369e-05
519,1079,4.956647744465369e-05
520,4328,4.9561894470684785e-05
521,1267,4.955964743160754e-05
522,8155,4.955601239840922e-05
523,8161,4.955601239840922e-05
524,8154,4.955601239840922e-05
525,8160,4.955601239840922e-05
526,8156,4.955601239840922e-05
527,8157,4.955601239840922e-05
528,8159,4.955601239840922e-05
529,8158,4.955601239840922e-05
530,11276,4.954147615768515e-05
531,2291,4.954078443456986e-05
532,3982,4.9537739482128475e-05
533,940,4.9529264521187804e-05
534,927,4.9529264521187804e-05
535,12876,4.951342719657009e-05
536,6548,4.950466004091711e-05
537,6550,4.950466004091711e-05
538,6547,4.950466004091711e-05
539,2786,4.9486308318480766e-05
540,11213,4.947414974985499e-05
541,29,4.9457451889498535e-05
542,6630,4.941927215475857e-05
543,6060,4.939512722936666e-05
544,6871,4.936557013955674e-05
545,6750,4.9361742843579404e-05
546,340,4.93601598020434e-05
547,11263,4.935158126593257e-05
548,11252,4.935158126593257e-05
549,12640,4.934318777942904e-05
550,554,4.93259750317053e-05
551,4828,4.931695441381081e-05
552,5343,4.931528523281379e-05
553,6967,4.9310867935218014e-05
554,8475,4.9307897316883626e-05
555,1526,4.9302601166063656e-05
556,6339,4.9290781538842856e-05
557,3881,4.926278013616705e-05
558,794,4.9260341839917686e-05
559,5577,4.925643628428808e-05
560,7721,4.923851453307807e-05
561,9767,4.922507625938988e-05
562,5383,4.9212118739088626e-05
563,2814,4.920460490909699e-05
564,967,4.917441043053903e-05
565,2523,4.916297908224171e-05
566,2591,4.914367247206577e-05
567,2596,4.914367247206577e-05
568,2592,4.914367247206577e-05
569,2594,4.914367247206577e-05
570,2595,4.914367247206577e-05
571,12504,4.9140662341911915e-05
572,5373,4.913801990160577e-05
573,6549,4.913726406772288e-05
574,5550,4.9136552161868954e-05
575,7723,4.91339401714689e-05
576,4954,4.91254152524771e-05
577,4283,4.91215290163594e-05
578,1178,4.910887116030419e-05
579,3264,4.910778090099067e-05
580,7880,4.9107774376572274e-05
581,3935,4.910616713179104e-05
582,818,4.910279121516524e-05
583,9713,4.908984308862672e-05
584,4901,4.9078969724474596e-05
585,1966,4.9074844232211596e-05
586,1968,4.9074844232211596e-05
587,10588,4.907164524912692e-05
588,1413,4.9041910519603786e-05
589,4278,4.9033820265743576e-05
590,229,4.902221623252497e-05
591,20752,4.901717216783196e-05
592,20751,4.901717216783196e-05
593,20749,4.901717216783196e-05
594,20753,4.901717216783196e-05
595,20750,4.901717216783196e-05
596,13557,4.9010204015026634e-05
597,3239,4.900065936014449e-05
598,21238,4.899980709246835e-05
599,2172,4.8994827667633376e-05
600,2902,4.8994174512732524e-05
601,6769,4.898924568876701e-05
602,12811,4.89811555746047e-05
603,6057,4.897186753088197e-05
604,3882,4.896941256265185e-05
605,1361,4.8936712148865866e-05
606,9941,4.8932040258434876e-05
607,3010,4.891154436385704e-05
608,3094,4.890499203558242e-05
609,19,4.890393346358394e-05
610,1119,4.888270115520172e-05
611,4169,4.887093238465473e-05
612,16,4.886092927692833e-05
613,3959,4.884918892358587e-05
614,7972,4.884389818793885e-05
615,17845,4.880517634421224e-05
616,6643,4.8801089516801573e-05
617,5623,4.8789273196215396e-05
618,14465,4.878577668705951e-05
619,12574,4.877692530813935e-05
620,6754,4.876791241726845e-05
621,16982,4.8740791278973094e-05
622,18140,4.8732828463217875e-05
623,18139,4.8732828463217875e-05
624,809,4.8721064252543434e-05
625,428,4.871182467311037e-05
626,2624,4.869924688562311e-05
627,2463,4.86949463225421e-05
628,4140,4.867224696289013e-05
629,373,4.863708060412843e-05
630,1421,4.862860987284815e-05
631,2465,4.862488678247898e-05
632,10975,4.8602869108112436e-05
633,2049,4.860015543298693e-05
634,1257,4.8596086837449856e-05
635,1939,4.858768522551093e-05
636,3203,4.8584973345474215e-05
637,486,4.8584653938963534e-05
638,10260,4.858059937393927e-05
639,2087,4.856788759551675e-05
640,2082,4.856788759551675e-05
641,14359,4.8560581803503984e-05
642,14357,4.8560581803503984e-05
643,14360,4.8560581803503984e-05
644,14356,4.8560581803503984e-05
645,20330,4.8552829707956513e-05
646,20332,4.8552829707956513e-05
647,20333,4.8552829707956513e-05
648,20331,4.8552829707956513e-05
649,20334,4.8552829707956513e-05
650,16380,4.8552606311038314e-05
651,2508,4.855125789577645e-05
652,3955,4.851454043638892e-05
653,11215,4.8513708937128425e-05
654,11214,4.8513708937128425e-05
655,1626,4.8513708937128425e-05
656,6551,4.8508198116469977e-05
657,5226,4.8503002199849155e-05
658,18475,4.847714934641873e-05
659,18474,4.847714934641873e-05
660,18476,4.847714934641873e-05
661,8237,4.8471837323700654e-05
662,4622,4.8471802340479785e-05
663,1245,4.845121369017293e-05
664,3957,4.843588827683023e-05
665,3960,4.843588827683023e-05
666,3958,4.843588827683023e-05
667,20366,4.842295260940965e-05
668,20367,4.842295260940965e-05
669,20365,4.842295260940965e-05
670,2466,4.84133285735226e-05
671,4816,4.8388386430173096e-05
672,9820,4.838277263313978e-05
673,135,4.837341990205155e-05
674,21245,4.837248387637392e-05
675,21244,4.837248387637392e-05
676,21242,4.837248387637392e-05
677,792,4.836984088148612e-05
678,12167,4.8352990672185854e-05
679,6624,4.832711528619557e-05
680,22178,4.832634103474127e-05
681,22179,4.832634103474127e-05
682,22180,4.832634103474127e-05
683,22181,4.832634103474127e-05
684,22182,4.832634103474127e-05
685,3981,4.832634103474127e-05
686,9712,4.832634103474127e-05
687,22273,4.832634103474127e-05
688,1593,4.832634103474127e-05
689,20655,4.832634103474127e-05
690,20679,4.832634103474127e-05
691,9711,4.832634103474127e-05
692,9710,4.832634103474127e-05
693,22272,4.832634103474127e-05
694,1596,4.832634103474127e-05
695,22274,4.832634103474127e-05
696,22275,4.832634103474127e-05
697,1595,4.832634103474127e-05
698,20683,4.832634103474127e-05
699,20682,4.832634103474127e-05
700,1594,4.832634103474127e-05
701,19704,4.832634103474127e-05
702,3983,4.832634103474127e-05
703,20681,4.832634103474127e-05
704,9931,4.832634103474127e-05
705,1597,4.832634103474127e-05
706,20657,4.832634103474127e-05
707,13366,4.832634103474127e-05
708,13365,4.832634103474127e-05
709,13364,4.832634103474127e-05
710,13363,4.832634103474127e-05
711,20680,4.832634103474127e-05
712,21241,4.832634103474127e-05
713,21240,4.832634103474127e-05
714,21239,4.832634103474127e-05
715,16261,4.832634103474127e-05
716,22276,4.832634103474127e-05
717,20656,4.832634103474127e-05
718,2785,4.830407887631125e-05
719,1138,4.829951606050992e-05
720,2405,4.829783342642469e-05
721,11797,4.8291217275738365e-05
722,11345,4.828562585124776e-05
723,15389,4.827656811124844e-05
724,873,4.8272041668471856e-05
725,91,4.824014259026795e-05
726,28,4.823893507693278e-05
727,1098,4.8221725859222525e-05
728,4131,4.817568427909259e-05
729,3098,4.8161922062224515e-05
730,152,4.816075747811798e-05
731,11259,4.815878453175844e-05
732,11262,4.815878453175844e-05
733,11261,4.815878453175844e-05
734,11258,4.815878453175844e-05
735,9212,4.8142944198986935e-05
736,6665,4.8122142850879676e-05
737,6642,4.8122142850879676e-05
738,826,4.810779669439241e-05
739,5344,4.810388678542659e-05
740,4955,4.8096743524599055e-05
741,6115,4.809594773522616e-05
742,1741,4.808402227155707e-05
743,12874,4.806941291428948e-05
744,65,4.806396331259443e-05
745,12505,4.8057178314761554e-05
746,10965,4.805031169374733e-05
747,1163,4.804711842001147e-05
748,7357,4.804249269079519e-05
749,10133,4.802176267899659e-05
750,11785,4.801401602602817e-05
751,3680,4.800716038431942e-05
752,12079,4.800697235315736e-05
753,7988,4.799985656352801e-05
754,14562,4.7989586575683144e-05
755,572,4.7987338538268965e-05
756,2569,4.796606300283252e-05
757,14485,4.795093544881513e-05
758,4353,4.794514223948363e-05
759,1298,4.794264551630237e-05
760,13558,4.7942026231639795e-05
761,933,4.793367080468156e-05
762,70,4.793127025793614e-05
763,14539,4.7923342681585014e-05
764,3883,4.7879374163372737e-05
765,8004,4.787499630088018e-05
766,4446,4.787307143405172e-05
767,2180,4.787128915730096e-05
768,814,4.78685506942265e-05
769,5410,4.786329472899233e-05
770,843,4.786241849440004e-05
771,1416,4.784793087342084e-05
772,1676,4.784678431412703e-05
773,6984,4.7844214030951536e-05
774,7883,4.783267910460479e-05
775,2488,4.783158314033521e-05
776,855,4.783056329411188e-05
777,6607,4.781535114420703e-05
778,10963,4.779631726424558e-05
779,17763,4.779415525236253e-05
780,11372,4.779105712639871e-05
781,11367,4.779105712639871e-05
782,11373,4.779105712639871e-05
783,5806,4.778802122653516e-05
784,15679,4.778265387442582e-05
785,15480,4.778265387442582e-05
786,14526,4.776992208547333e-05
787,14529,4.776992208547333e-05
788,12500,4.776930096929693e-05
789,1317,4.7753875779078274e-05
790,3254,4.774900126695364e-05
791,1309,4.77445151852154e-05
792,10941,4.774327110709911e-05
793,7354,4.773870353471086e-05
794,12030,4.7728857292996434e-05
795,1078,4.771750086706269e-05
796,4684,4.7714139086579545e-05
797,4685,4.7714139086579545e-05
798,4687,4.7714139086579545e-05
799,4686,4.7714139086579545e-05
800,3643,4.771151216332491e-05
801,14165,4.7709296029248295e-05
802,2492,4.770709586105186e-05
803,4288,4.769751548578558e-05
804,5417,4.7673285928544915e-05
805,1204,4.767175582471063e-05
806,2516,4.767031150551329e-05
807,560,4.766831031083134e-05
808,579,4.765454507642636e-05
809,5787,4.7653052715984775e-05
810,890,4.763778983085091e-05
811,15004,4.763713067553906e-05
812,9773,4.763091210752943e-05
813,739,4.76192550989357e-05
814,9195,4.7616244646707426e-05
815,9202,4.7616244646707426e-05
816,7564,4.7616244646707426e-05
817,9196,4.7616244646707426e-05
818,9072,4.759781936747993e-05
819,6302,4.759297626014394e-05
820,5572,4.758689056926068e-05
821,9916,4.756232805746486e-05
822,8952,4.755790991937653e-05
823,2657,4.755641143554401e-05
824,2476,4.7542126464374834e-05
825,12154,4.753692812585671e-05
826,12934,4.753514332948498e-05
827,7483,4.750002668733378e-05
828,7529,4.750002668733378e-05
829,9691,4.749883035664342e-05
830,9690,4.749883035664342e-05
831,13892,4.749104267746466e-05
832,13891,4.749104267746466e-05
833,4883,4.749020516010932e-05
834,12676,4.747291970517639e-05
835,21015,4.745841767181482e-05
836,21014,4.745841767181482e-05
837,21013,4.745841767181482e-05
838,20755,4.745841767181482e-05
839,21012,4.745841767181482e-05
840,1732,4.7456690932731555e-05
841,1738,4.7456690932731555e-05
842,16411,4.7452531677075785e-05
843,9789,4.7446397750681105e-05
844,15308,4.744176941062102e-05
845,1680,4.741741086444201e-05
846,1506,4.74170116173559e-05
847,9063,4.7415082737349164e-05
848,9068,4.7415082737349164e-05
849,9070,4.7415082737349164e-05
850,9073,4.7415082737349164e-05
851,7332,4.741181499357107e-05
852,17987,4.7395391521881196e-05
853,6439,4.7383257990291575e-05
854,6444,4.7383257990291575e-05
855,6443,4.7383257990291575e-05
856,6442,4.7383257990291575e-05
857,2136,4.736952806128585e-05
858,2127,4.735276626071634e-05
859,7271,4.734512112421062e-05
860,2823,4.7343856054677724e-05
861,3259,4.731258508170473e-05
862,5047,4.73102505932676e-05
863,1813,4.730962312616864e-05
